index,name,prompt,negative_prompt,category,weight,favorite
1,Long Straight Hair,Give <Subject 1> long straight hair with a polished finish and clean silhouette.,,Hair,1,
2,Long Wavy Hair,Give <Subject 1> long wavy hair with soft movement and a glamorous finish.,,Hair,1,
3,Loose Curls,"Give <Subject 1> loose curly hair with volume, definition, and a fashionable finish.",,Hair,1,
4,High Ponytail,Give <Subject 1> a high ponytail with a sleek fashionable finish.,,Hair,1,
5,Low Ponytail,Give <Subject 1> a low ponytail with a clean elegant finish.,,Hair,1,
6,Messy Bun,Give <Subject 1> a messy bun with soft loose strands and casual fashionable styling.,,Hair,1,
7,Elegant Bun,Give <Subject 1> a smooth elegant bun with refined formal styling.,,Hair,1,
8,Bob Cut,Give <Subject 1> a clean bob haircut with structured fashionable lines.,,Hair,1,
9,Lob Cut,Give <Subject 1> a long bob haircut with polished shape and modern styling.,,Hair,1,
10,Pixie Cut,Give <Subject 1> a pixie haircut with neat styling and confident shape.,,Hair,1,
11,Braided Hair,Give <Subject 1> styled braided hair with neat structure and detailed texture.,,Hair,1,
12,Twin Braids,Give <Subject 1> twin braids with clean symmetrical styling.,,Hair,1,
13,Beach Waves,Give <Subject 1> beach-wave hair with soft texture and relaxed fashionable styling.,,Hair,1,
14,Curtain Bangs,Give <Subject 1> curtain bangs with flattering framing and polished styling.,,Hair,1,
15,Side-Swept Hair,Give <Subject 1> side-swept hair with elegant asymmetry and clean finish.,,Hair,1,
16,Voluminous Blowout,Give <Subject 1> a voluminous blowout hairstyle with glamour and bounce.,,Hair,1,
17,Silver Hair,Use a silver hair color for <Subject 1> while preserving the chosen hairstyle.,,Hair,1,
18,Blonde Hair,Use a blonde hair color for <Subject 1> while preserving the chosen hairstyle.,,Hair,1,
19,Brunette Hair,Use a brunette hair color for <Subject 1> while preserving the chosen hairstyle.,,Hair,1,
20,Black Hair,Use a black hair color for <Subject 1> while preserving the chosen hairstyle.,,Hair,1,
