name,prompt,negative_prompt,category,weight,favorite
"0001 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — medium portrait framing, camera at waist height, 50mm standard lens perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at waist height, camera positioned to include the surrounding environment, medium portrait framing, 50mm standard lens perspective, rule-of-thirds placement, deep focus with foreground and background clearly readable, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0002 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — medium portrait framing, camera slightly above eye level, 85mm portrait perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera slightly above eye level, camera far enough back to preserve the full silhouette, medium portrait framing, 85mm portrait perspective, slightly off-centre editorial composition, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0003 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — vertical editorial framing, camera at shoulder height, 50mm standard lens perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at shoulder height, camera at intimate portrait distance, vertical editorial framing, 50mm standard lens perspective, strong leading lines directing attention to the subject, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0004 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — waist-up framing, camera at knee height, 35mm lens perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at knee height, camera at intimate portrait distance, waist-up framing, 35mm lens perspective, environment framing the subject naturally, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0005 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — cinematic landscape framing, camera elevated above the subject, 65mm portrait perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera elevated above the subject, camera several metres from the subject, cinematic landscape framing, 65mm portrait perspective, foreground-to-background depth layering, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0006 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — balanced square-format framing, camera at eye level, 70mm short-telephoto perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at eye level, camera far enough back to preserve the full silhouette, balanced square-format framing, 70mm short-telephoto perspective, symmetrical visual balance, shallow depth of field with smooth background separation, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0007 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — three-quarter body framing, camera at knee height, 105mm compressed portrait perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at knee height, camera far enough back to preserve the full silhouette, three-quarter body framing, 105mm compressed portrait perspective, asymmetrical cinematic balance, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0008 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — cinematic landscape framing, camera at shoulder height, 28mm moderately wide perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at shoulder height, camera positioned to include foreground depth, cinematic landscape framing, 28mm moderately wide perspective, minimal uncluttered composition, focus prioritising the face when visible, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0009 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — tight portrait framing, camera slightly above eye level, 28mm moderately wide perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera slightly above eye level, camera close to the subject, tight portrait framing, 28mm moderately wide perspective, foreground-to-background depth layering, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0010 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — tight portrait framing, camera slightly above eye level, 40mm natural perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera slightly above eye level, camera far enough back to preserve the full silhouette, tight portrait framing, 40mm natural perspective, rule-of-thirds placement, focus centred on clothing and body orientation, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0011 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — cinematic landscape framing, camera close to ground level, 35mm lens perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera close to ground level, camera far enough back to preserve the full silhouette, cinematic landscape framing, 35mm lens perspective, foreground-to-background depth layering, focus prioritising the back silhouette and shoulder line, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0012 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — three-quarter body framing, camera close to ground level, 35mm lens perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera close to ground level, camera several metres from the subject, three-quarter body framing, 35mm lens perspective, slightly off-centre editorial composition, balanced focus across subject and surroundings, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
"0013 | Perspective/Three-Quarter Rear Right/Three-Quarter Rear Right — full-body framing, camera at chest height, 70mm short-telephoto perspective","camera positioned behind and slightly to the subject right at approximately a 135-degree angle, most of the back visible, right shoulder closest to camera, head directed away, only a minimal outer cheek edge visible when necessary, no eye contact, camera at chest height, camera at intimate portrait distance, full-body framing, 70mm short-telephoto perspective, foreground-to-background depth layering, focus locked on the primary subject silhouette, clear camera-to-subject relationship, coherent spatial orientation","full front view, direct eye contact, head fully turned toward camera, left-rear emphasis, mirror reflection, contradictory camera angle, impossible perspective, duplicate subject, extra limbs, fused limbs, twisted anatomy, broken neck, malformed hands, inconsistent body direction, floating objects, warped background, random text, watermark, logo artifacts, low detail, blur",Perspective/Three-Quarter Rear Right,1,False
